nationalPoliticalGroup,country,ches_party_id
Die Grünen - Die Grüne Alternative,Austria,1304
Freiheitliche Partei Österreichs,Austria,1303
NEOS – Das Neue Österreich,Austria,1306
Österreichische Volkspartei,Austria,1302
Sozialdemokratische Partei Österreichs,Austria,1301
Centre Démocrate Humaniste,Belgium,108
Christen-Democratisch & Vlaams,Belgium,109
Christlich Soziale Partei,Belgium,
Ecologistes Confédérés pour l'Organisation de Luttes Originales,Belgium,104
Groen,Belgium,105
Mouvement Réformateur,Belgium,106
Nieuw-Vlaamse Alliantie,Belgium,110
Open Vlaamse Liberalen en Democraten,Belgium,107
Parti du Travail de Belgique,Belgium,119
Parti Socialiste,Belgium,102
Socialistische Partij.Anders,Belgium,103
Vlaams Belang,Belgium,112
Bulgarian Socialist Party,Bulgaria,2003
Citizens for European Development of Bulgaria,Bulgaria,2010
Democrats for Strong Bulgaria,Bulgaria,2008
Movement for Rights and Freedoms,Bulgaria,2004
Union of Democratic Forces,Bulgaria,
VMRO,Bulgaria,
-,Croatia,
Hrvatska demokratska zajednica,Croatia,3101
Hrvatska konzervativna stranka,Croatia,3119
Istarski demokratski sabor - Dieta democratica istriana,Croatia,3106
Socijaldemokratska partija Hrvatske,Croatia,3102
Živi Zid,Croatia,3116
Democratic Party,Cyprus,4004
Democratic Rally,Cyprus,4001
Movement for Social Democracy EDEK,Cyprus,4005
Progressive Party of Working People - Left - New Forces,Cyprus,4003
ANO 2011,Czechia,2111
Komunistická strana Čech a Moravy,Czechia,2103
Křesťanská a demokratická unie - Československá strana lidová,Czechia,2104
Občanská demokratická strana,Czechia,2102
PIRÁTI,Czechia,2114
Starostové a nezávisli,Czechia,2116
Svoboda a přímá demokracie,Czechia,2115
TOP 09 a Starostové,Czechia,2109
Dansk Folkeparti,Denmark,215
Det Konservative Folkeparti,Denmark,203
Det Radikale Venstre,Denmark,202
Enhedslisten,Denmark,213
Socialdemokratiet,Denmark,201
Socialistisk Folkeparti,Denmark,206
"Venstre, Danmarks Liberale Parti",Denmark,211
Eesti Keskerakond,Estonia,2202
Eesti Konservatiivne Rahvaerakond,Estonia,2209
Eesti Reformierakond,Estonia,22003
Isamaa,Estonia,2201
Sotsiaaldemokraatlik Erakond,Estonia,2204
Kansallinen Kokoomus,Finland,1402
Perussuomalaiset,Finland,1405
Suomen Keskusta,Finland,1403
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,Finland,1401
Svenska folkpartiet,Finland,1406
Vasemmistoliitto,Finland,1404
Vihreä liitto,Finland,1408
Agir - La Droite constructive,France,
Alliance Écologiste Indépendante,France,
Europe Écologie,France,605
Gauche républicaine et socialiste,France,
Indépendant,France,
La France Insoumise,France,627
La République en marche,France,626
Les centristes,France,
Les Républicains,France,609
Liste Renaissance,France,
Mouvement Démocrate,France,613
Mouvement Radical Social-Libéral,France,
Nouvelle Donne,France,
Parti socialiste,France,602
Place publique,France,
Rassemblement national,France,610
Régions et Peuples Solidaires,France,
Alternative für Deutschland,Germany,310
Bündnis 90/Die Grünen,Germany,304
Christlich-Soziale Union in Bayern e.V.,Germany,308
Christlich Demokratische Union Deutschlands,Germany,301
DIE LINKE.,Germany,306
Die PARTEI,Germany,
Familien-Partei Deutschlands,Germany,
Freie Demokratische Partei,Germany,303
Freie Wähler,Germany,
Ökologisch-Demokratische Partei,Germany,
Partei Mensch Umwelt Tierschutz,Germany,312
Piratenpartei Deutschland,Germany,311
Sozialdemokratische Partei Deutschlands,Germany,302
Volt,Germany,
Coalition of the Radical Left,Greece,403
Communist Party of Greece,Greece,404
Elliniki Lusi-Greek Solution,Greece,
Independent,Greece,
Nea Demokratia,Greece,402
Panhellenic Socialist Movement - Olive Tree,Greece,401
PASOK-KINAL,Greece,
Popular Association – Golden Dawn,Greece,415
Demokratikus Koalíció,Hungary,2311
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Hungary,2302
Jobbik Magyarországért Mozgalom,Hungary,2308
Kereszténydemokrata Néppárt,Hungary,2302
Magyar Szocialista Párt,Hungary,2301
Momentum,Hungary,2314
Fianna Fáil Party,Ireland,701
Fine Gael Party,Ireland,7002
Green Party,Ireland,705
